Title,Genre,Duration (minutes),IMDb Rating,MetaScore,Certificates,Year,Poster-src,Score
The Kid Stays in the Picture,Documentary,93.0,7.3,75.0,R,2002,"https://m.media-amazon.com/images/M/MV5BZjhiZmI4NjgtZjhiNC00MGNhLTg4YWMtOWIwYzJhMjc2Yjk1XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,1,190,281_.jpg",7.359999999999999
It Ain't Over,Documentary,99.0,8.2,79.0,PG,2022,"https://m.media-amazon.com/images/M/MV5BZWViYWYzOGYtNzUwMC00N2QwLWIzMTktN2I3ODU3N2UyNDIwXkEyXkFqcGdeQXVyMTQyODg5MjQw._V1_QL75_UX190_CR0,0,190,281_.jpg",8.11
Mahler,Biography,115.0,7.0,66.0,PG,1974,"https://m.media-amazon.com/images/M/MV5BYzY4MzQ3ZWMtMDM5ZC00ODcxLWEwMDgtZWYzMTJlMGRlZmU1XkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_QL75_UX190_CR0,2,190,281_.jpg",6.879999999999999
The Dark Horse,Biography,124.0,7.4,77.0,R,2014,"https://m.media-amazon.com/images/M/MV5BMjQzNjIxOTI4OF5BMl5BanBnXkFtZTgwMzQwNTg5NzE@._V1_QL75_UY281_CR0,0,190,281_.jpg",7.49
Stephen Curry: Underrated,Documentary,110.0,7.3,69.0,PG-13,2023,"https://m.media-amazon.com/images/M/MV5BOTNhZWEzZWYtMDE3ZS00ZTBmLTg4ZTktZTE4ZmI3ZjBkYjQ5XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.18
Carrington,Biography,121.0,6.8,66.0,R,1995,"https://m.media-amazon.com/images/M/MV5BZjQ3MTBkNDEtMGRlZS00OTY0LTkzYjktOWU2MzI3ZDRiMjY5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_QL75_UX190_CR0,2,190,281_.jpg",6.739999999999999
Burden,Biography,117.0,6.7,57.0,R,2018,"https://m.media-amazon.com/images/M/MV5BMTlhNzVmNTktMDRjZi00MTllLWFlNmEtZDhlNmI0MTQxZTU3XkEyXkFqcGdeQXVyOTIxNTAyMzU@._V1_QL75_UX190_CR0,2,190,281_.jpg",6.3999999999999995
Georgetown,Biography,99.0,6.2,49.0,R,2019,"https://m.media-amazon.com/images/M/MV5BMmZlMzQ5N2MtMWI0ZS00MzMxLWE1MjYtZDUwZGNjYjYzZmYyXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_QL75_UX190_CR0,2,190,281_.jpg",5.81
Miles Ahead,Biography,100.0,6.4,64.0,R,2015,"https://m.media-amazon.com/images/M/MV5BYTU5NDRjNmItZGZlMi00ZjJiLTk5YzAtZmY1ZDc4ZGZhMjFhXkEyXkFqcGdeQXVyNTM0OTY0NTI@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.3999999999999995
The King of Kong: A Fistful of Quarters,Documentary,79.0,8.0,83.0,PG-13,2007,"https://m.media-amazon.com/images/M/MV5BMzIwMmIwNzEtODhhOS00ZjFjLWI1OGMtNjBiMDFkMTgzZTY2XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX190_CR0,0,190,281_.jpg",8.09
